,word,spam,normal
0,,115,798
1,d,44,400
2,da,5,6
3,dat,0,1
4,date,23,780
5,dated,2,26
6,datedir,0,1
7,dates,1,10
8,datestamp,0,1
9,dateline,0,1
10,dateisystem,0,1
11,dateisysteme,0,1
12,dateinpastNUMBERNUMBER,0,1
13,daten,0,1
14,data,32,162
15,database,31,61
16,databases,6,8
17,dataset,0,1
18,datasets,0,2
19,datapower,0,6
20,datapowers,0,3
21,datadir,0,1
22,datareturn,0,1
23,datafiles,0,2
24,dating,2,10
25,day,77,170
26,days,67,91
27,dayservice,1,0
28,daypop,0,2
29,daylight,0,1
30,daydream,0,2
31,dayan,0,1
32,daytime,0,1
33,dayton,0,1
34,dayv,0,1
35,dayenu,0,1
36,daily,24,78
37,daisy,0,6
38,daintier,0,1
39,dan,6,45
40,dang,0,4
41,danger,3,10
42,dangerous,0,23
43,dangerously,0,1
44,dangers,0,5
45,dangling,0,1
46,daniel,5,23
47,danielp,0,1
48,danielr,0,1
49,dank,0,2
50,dankohn,0,3
51,dancing,0,1
52,dance,2,4
53,danesan,0,1
54,dann,3,0
55,danny,0,4
56,dans,2,1
57,dandy,0,4
58,dandanielle,0,1
59,dana,2,1
60,danach,0,1
61,danas,2,0
62,danq,0,1
63,dante,0,2
64,damn,0,18
65,damnest,0,2
66,damned,0,4
67,damnedest,0,1
68,damnit,0,1
69,damning,0,1
70,damnation,0,1
71,damian,0,5
72,damien,0,2
73,damit,1,0
74,damage,1,17
75,damaged,2,8
76,damages,0,1
77,damaging,0,2
78,damon,1,0
79,dav,0,1
80,davao,0,1
81,dave,0,79
82,daves,0,1
83,david,3,56
84,davida,0,1
85,davidsavimbi,1,0
86,davis,1,6
87,davison,0,1
88,davorg,0,3
89,davos,0,1
90,davsav,1,0
91,dad,2,9
92,daddy,0,2
93,dads,0,1
94,dark,1,23
95,darkness,0,3
96,darker,0,3
97,darkest,0,1
98,darkening,0,1
99,darkened,0,1
100,darkslategray,0,1
101,darkling,0,1
102,darktree,0,1
103,darwin,0,7
104,darrington,0,1
105,darren,0,2
106,darragh,0,2
107,darn,1,7
108,darned,0,1
109,daring,0,3
110,dare,9,1
111,dared,1,2
112,dares,0,2
113,darts,0,2
114,darth,0,1
115,darling,0,1
116,daf,0,1
117,daffy,0,1
118,dahl,0,2
119,daha,3,0
120,dawson,0,2
121,dawn,0,3
122,dawned,0,1
123,dalsabuild,0,2
124,daly,0,1
125,dalnet,0,1
126,dale,0,6
127,dalek,0,1
128,dalai,0,3
129,dalal,0,4
130,dalil,0,1
131,dallas,1,1
132,dallin,1,0
133,dakota,3,2
134,das,4,1
135,dasbrand,0,1
136,dasburg,0,1
137,dash,0,6
138,dashing,0,3
139,dashes,0,2
140,dashed,0,1
141,dasr,0,1
142,daughter,0,13
143,daughters,0,2
144,daciinorty,0,1
145,daz,0,1
146,dazzlingly,0,1
147,dabble,0,1
148,dabba,0,1
149,dabney,1,0
150,dabei,1,0
151,dag,0,4
152,dagNUMBERgdbpxmsfbtdbyxNUMBERhqbzdfmNUMBERaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,1,0
153,dagga,1,0
154,daemon,0,6
155,daemonize,0,1
156,daev,0,1
157,daaaacmrixeg,1,0
158,daNUMBERqeijelxNUMBERpNUMBER,1,0
159,daNUMBERtbNUMBERrqhlduejgyhqbeNUMBERldumrqjxmdaNUMBERtbNUMBERrqhlduejgyhqbeNUMBERldumrqjxmdaNUMBERtbNUMBERrqhldue,1,0
160,de,19,37
161,dee,0,1
162,deep,2,24
163,deepeddy,0,18
164,deeper,0,8
165,deepened,0,2
166,deepening,0,7
167,deeply,0,7
168,deepak,1,0
169,deem,0,2
170,deemed,0,9
171,deems,0,1
172,deer,0,2
173,deersoft,0,2
174,deed,0,5
175,deeds,2,0
176,deegan,0,1
177,deb,0,1
178,debug,0,16
179,debugger,0,1
180,debugging,0,1
181,debate,0,19
182,debated,0,2
183,debates,0,1
184,debating,0,3
185,debacles,0,1
186,debasing,2,0
187,debeers,0,1
188,debian,0,9
189,debianized,0,1
190,deborah,0,1
191,debt,15,7
192,debts,4,2
193,debtcollectors,1,0
194,debtors,1,0
195,debbie,0,2
196,debris,0,1
197,debs,0,2
198,del,0,2
199,delta,2,10
200,deltree,0,1
201,delete,18,31
202,deleterious,0,2
203,deleted,11,8
204,deletes,0,1
205,deletion,0,1
206,deletions,0,2
207,deleting,0,8
208,delegate,1,2
209,delegated,2,0
210,delegates,1,0
211,delegatrix,0,1
212,delendam,0,4
213,dell,1,17
214,della,0,1
215,dellaca,5,0
216,dells,0,2
217,deliver,3,26
218,delivery,14,20
219,deliverypeople,0,1
220,delivered,8,28
221,delivers,4,10
222,delivering,3,9
223,deliveries,1,0
224,deliverable,2,0
225,deliberation,1,2
226,deliberations,1,1
227,deliberate,1,4
228,deliberately,3,6
229,deliberated,1,0
230,deliberatley,1,0
231,delight,2,2
232,delightful,2,0
233,delicious,1,1
234,delimited,0,3
235,delineating,0,1
236,deluna,0,1
237,delusion,0,2
238,delusions,0,1
239,delurking,0,1
240,deluxe,1,0
241,delve,0,1
242,delved,0,1
243,dela,2,0
244,delay,16,13
245,delays,3,3
246,delayed,0,2
247,delacour,0,1
248,delaware,3,0
249,delhi,1,1
250,delong,0,2
251,delmsgs,0,1
252,delphi,0,2
253,detail,0,21
254,details,26,47
255,detailed,9,11
256,detailing,0,2
257,detained,0,1
258,detache,0,1
259,detached,0,3
260,detachable,0,1
261,detractors,0,2
262,detriment,1,1
263,detrimental,0,2
264,detritus,0,2
265,detroit,0,3
266,dethpicable,0,1
267,dethroned,0,4
268,deter,0,2
269,deterrent,0,1
270,deterrents,0,1
271,deterrence,0,2
272,deterred,0,4
273,deterring,0,2
274,determine,6,10
275,determined,4,15
276,determines,0,1
277,determination,4,2
278,determinations,0,1
279,determining,1,1
280,deterioration,0,1
281,deteriorate,0,2
282,deteriorated,0,1
283,detect,2,8
284,detected,0,11
285,detector,0,2
286,detectors,0,1
287,detects,0,2
288,detecting,0,1
289,detection,1,5
290,detective,0,1
291,detectives,0,1
292,detectable,0,1
293,detention,1,1
294,detest,0,1
295,dem,1,1
296,demand,9,20
297,demanded,1,5
298,demands,5,13
299,demanding,4,5
300,demo,4,2
301,democracy,1,14
302,democracies,0,3
303,democrat,0,4
304,democratic,13,9
305,democratically,0,1
306,democrats,0,5
307,demons,0,2
308,demonstration,0,2
309,demonstrations,0,2
310,demonstrating,1,0
311,demonstrative,1,0
312,demonstrate,4,4
313,demonstrated,0,6
314,demonstrates,1,2
315,demonstrators,0,4
316,demonstrandum,0,1
317,demographic,0,1
318,demographics,0,8
319,demos,0,1
320,demolished,0,1
321,dementia,0,4
322,demean,0,1
323,demeanor,0,1
324,demeure,2,0
325,demipublican,0,3
326,demurrage,1,0
327,des,4,1
328,desc,0,1
329,describe,1,10
330,described,9,28
331,describes,0,7
332,describing,0,6
333,description,3,23
334,descriptions,1,6
335,descriptive,0,1
336,descriptor,0,5
337,descriminators,0,1
338,descrambler,2,0
339,descrambles,2,0
340,descend,0,1
341,descendants,0,7
342,descendents,0,5
343,descending,0,1
344,descent,0,1
345,descarmbler,1,0
346,design,4,42
347,designer,2,7
348,designers,1,9
349,designed,7,43
350,designs,1,9
351,designing,0,5
352,designated,5,6
353,desire,11,5
354,desired,1,13
355,desires,0,3
356,desireable,0,1
357,desirability,0,1
358,desirable,0,3
359,desist,3,2
360,desintegrating,0,1
361,destructive,19,3
362,destructively,0,1
363,destruction,0,11
364,destructor,0,1
365,destroy,0,8
366,destroyed,0,11
367,destroyer,0,3
368,destroying,0,3
369,destroys,0,1
370,destabilise,0,1
371,destabilize,0,1
372,destuctive,0,1
373,destin,2,0
374,destination,2,10
375,destinations,1,1
376,destined,1,2
377,destiny,1,1
378,destitution,0,4
379,destdir,0,1
380,destekli,2,0
381,desent,0,1
382,deserve,12,51
383,deserved,0,5
384,deservedly,0,2
385,deserves,1,1
386,deserving,0,1
387,deserialize,0,1
388,desert,0,5
389,deserts,0,1
390,deset,2,0
391,despite,5,35
392,despise,0,2
393,despises,0,2
394,despicable,0,1
395,desperation,0,4
396,desperate,2,3
397,despair,0,2
398,desparate,0,2
399,despatch,1,0
400,despots,0,1
401,despotic,0,1
402,desk,9,8
